type,date,market_cap,total_daily_mcap,daily_%_mcap
Altcoin,2024-10-03,238383602395.5491,1721657292888.2283,13.85
Altcoin,2024-10-04,235514664484.60593,1718607862392.4868,13.7
Altcoin,2024-10-05,242923244991.00418,1760514989203.4893,13.8
Altcoin,2024-10-06,243119646896.23694,1760587873590.0142,13.81
Altcoin,2024-10-07,247565089777.24,1782915657116.8303,13.89
Altcoin,2024-10-08,245583363165.50665,1768287865518.6335,13.89
Altcoin,2024-10-09,246941137764.9968,1770848873138.8408,13.94
Altcoin,2024-10-10,242463457030.25412,1725284498246.1128,14.05
Altcoin,2024-10-11,240589217589.60892,1716833518839.5625,14.01
Altcoin,2024-10-12,248502913541.70264,1775022755066.0137,14.0
Altcoin,2024-10-13,251158990481.94498,1798443796764.3823,13.97
Altcoin,2024-10-14,250605408822.721,1788825016333.6782,14.01
Altcoin,2024-10-15,259964191695.92975,1882501300510.272,13.81
Altcoin,2024-10-16,257837461060.2024,1894828153822.047,13.61
Altcoin,2024-10-17,260050491886.51233,1911789994013.8296,13.6
Altcoin,2024-10-18,256199622910.94223,1899781984841.3564,13.49
Altcoin,2024-10-19,262287206035.61835,1934074711372.711,13.56
Altcoin,2024-10-20,264751161332.41992,1935668864909.7383,13.68
Altcoin,2024-10-21,269811372763.08005,1962320695126.2417,13.75
Altcoin,2024-10-22,268213163378.72635,1921411835249.7927,13.96
Altcoin,2024-10-23,266639479692.43112,1913353301418.4548,13.94
Altcoin,2024-10-24,265960409816.77017,1888004516673.7036,14.09
Altcoin,2024-10-25,271109050932.6786,1924013280091.6519,14.09
Altcoin,2024-10-26,255511180284.27808,1860084289625.9673,13.74
Altcoin,2024-10-27,262809055127.32294,1886519606219.4763,13.93
Altcoin,2024-10-28,267942601432.28156,1912949396369.1382,14.01
Altcoin,2024-10-29,273630663102.58176,1963266113669.3064,13.94
Altcoin,2024-10-30,279661963546.9438,2036606288721.1953,13.73
Altcoin,2024-10-31,275288406424.8646,2026499346928.0513,13.58
Altcoin,2024-11-01,265515506158.4536,1958615058900.0786,13.56
Altcoin,2024-11-02,264363086303.57907,1941683803168.937,13.62
Altcoin,2024-11-03,262394048647.1808,1932883447566.558,13.58
Altcoin,2024-11-04,257196347965.96027,1915578859972.7903,13.43
Altcoin,2024-11-05,253085706243.11462,1881695255997.5378,13.45
Altcoin,2024-11-06,262784483501.13892,1925428814277.8486,13.65
Altcoin,2024-11-07,286241709871.6813,2110081994219.2407,13.57
Altcoin,2024-11-08,293486633227.6265,2144748423382.3257,13.68
Altcoin,2024-11-09,299201785734.7186,2169733511527.0942,13.79
Altcoin,2024-11-10,310011804734.0557,2206424896160.584,14.05
Altcoin,2024-11-11,330407511180.57294,2305397181679.004,14.33
Altcoin,2024-11-12,356976290387.4365,2521058823127.6963,14.16
Altcoin,2024-11-13,358308989980.75024,2491655647876.618,14.38
Altcoin,2024-11-14,357580887200.0543,2532639266192.0625,14.12
Altcoin,2024-11-15,351923270755.42847,2446205219166.29,14.39
Altcoin,2024-11-16,373356710910.25574,2545120674825.685,14.67
Altcoin,2024-11-17,387512603786.21075,2554832398745.8945,15.17
Altcoin,2024-11-18,392855494075.3107,2539968217956.729,15.47
Altcoin,2024-11-19,400758039920.6862,2577805191899.982,15.55
Altcoin,2024-11-20,400553798120.9809,2600675011512.7427,15.4
Altcoin,2024-11-21,397795823089.719,2630680847732.7886,15.12
Altcoin,2024-11-22,420650432698.6507,2774219033906.819,15.16
Altcoin,2024-11-23,449156206979.5435,2808035062496.705,16.0
Altcoin,2024-11-24,456107000578.4239,2795811130423.121,16.31
Altcoin,2024-11-25,454794907007.4136,2799960242756.335,16.24
Altcoin,2024-11-26,429729259264.94934,2679832525991.9927,16.04
Altcoin,2024-11-27,424630340041.6749,2645327115829.947,16.05
Altcoin,2024-11-28,445295642636.6404,2786017037293.5737,15.98
Altcoin,2024-11-29,447618426629.85297,2771123551155.213,16.15
Altcoin,2024-11-30,473018790531.24817,2833206171612.853,16.7
Altcoin,2024-12-01,478065226159.6978,2834939562095.496,16.86
Altcoin,2024-12-02,502905960670.90704,2875378892013.0015,17.49
Altcoin,2024-12-03,527254537854.61957,2862657432831.443,18.42
Altcoin,2024-12-04,550180997826.147,2887794371345.8794,19.05
Altcoin,2024-12-05,531423027779.88403,2951189443008.7114,18.01
Altcoin,2024-12-06,530806456663.29047,2908616229285.3413,18.25
Altcoin,2024-12-07,548292606070.2924,3010105082277.9263,18.22
Altcoin,2024-12-08,563264027660.5099,3019892295836.948,18.65
Altcoin,2024-12-09,566280441770.3928,3053162307556.725,18.55
Altcoin,2024-12-10,498091960568.83563,2870710922646.4526,17.35
Altcoin,2024-12-11,499727453540.2832,2849592859082.553,17.54
Altcoin,2024-12-12,526720997149.96344,2989543367695.0205,17.62
Altcoin,2024-12-13,530589837968.0199,2976639083736.7163,17.83
Altcoin,2024-12-14,536725908350.6589,3012601837258.031,17.82
Altcoin,2024-12-15,527622967923.84863,3000982629286.3584,17.58
Altcoin,2024-12-16,539815931605.94336,3092626993522.291,17.45
Altcoin,2024-12-17,536380097092.9568,3114780832118.3594,17.22
Altcoin,2024-12-18,536416894851.6766,3104555184214.576,17.28
Altcoin,2024-12-19,492830191978.57654,2915008637745.5503,16.91
Altcoin,2024-12-20,471777203059.1862,2822658126718.0933,16.71
Altcoin,2024-12-21,478125940415.47864,2828061312585.8594,16.91
Altcoin,2024-12-22,464113309856.8661,2788196100445.483,16.65
Altcoin,2024-12-23,456773418984.80774,2736357224758.7886,16.69
Altcoin,2024-12-24,478288401134.81165,2764624407972.0254,17.3
Altcoin,2024-12-25,490851609497.8133,2862733493568.609,17.15
Altcoin,2024-12-26,487215340625.42255,2874726044381.1416,16.95
Altcoin,2024-12-27,463768530070.56287,2759551218812.8975,16.81
