price,market_cap,vol_24hr,date,ticker,type,daily_return,rolling_returns
60655.55979196848,1198652098493.4897,41870731291.86736,2024-10-03,BTC,BTC,-0.3566604799017714,-0.5480769034135381
60727.86395169296,1200491237695.5154,37711138441.76231,2024-10-04,BTC,BTC,0.11920450486726519,-0.9786915572948481
62103.01047283253,1226663492771.043,30349059838.684578,2024-10-05,BTC,BTC,2.264440788224431,-0.8000148899810045
62091.932585194016,1226761949791.163,11095453162.990673,2024-10-06,BTC,BTC,-0.01783792372410664,-0.8336366647288287
62811.79972811266,1241834324867.657,14592422860.685436,2024-10-07,BTC,BTC,1.1593569614392951,-0.6094238788874529
62287.39010510681,1231091696620.0955,33878876147.30253,2024-10-08,BTC,BTC,-0.8348902997140861,-0.202111412101545
62185.230423727575,1229717180592.4397,28626429276.55382,2024-10-09,BTC,BTC,-0.16401342423698617,0.3099428752791487
60597.15045618275,1197736450280.4102,28530748117.898792,2024-10-10,BTC,BTC,-2.5537896325601883,-0.003932717957767983
60195.18073772453,1189691671375.1472,29481971885.649742,2024-10-11,BTC,BTC,-0.6633475591379279,-0.11572586995850985
62392.34048293159,1233357176570.333,32008659336.482643,2024-10-12,BTC,BTC,3.650059221153068,0.08221962045986686
63207.77062127557,1249002272717.2275,17665963646.417107,2024-10-13,BTC,BTC,1.3069394929447364,0.27147353712684447
62829.533686088886,1241241970951.0295,16784552979.060463,2024-10-14,BTC,BTC,-0.5984025879554933,0.0203650300704461
66049.99492708022,1306085613997.8015,46553796134.14602,2024-10-15,BTC,BTC,5.125712466817767,0.871879711003568
66962.21994496793,1323774576161.621,51797932876.82809,2024-10-16,BTC,BTC,1.3811129264957867,1.0926120468225355
67647.54414766871,1337304399194.887,40640495380.19594,2024-10-17,BTC,BTC,1.0234490482304848,1.6036461440783458
67328.10527002988,1330387728623.8188,34512072357.92087,2024-10-18,BTC,BTC,-0.47221060522393277,1.6309514232089166
68465.61920668735,1353541799303.4875,39984956633.228035,2024-10-19,BTC,BTC,1.6895083146856615,1.3508727222850017
68388.87128965274,1351942347611.1997,14110889435.452631,2024-10-20,BTC,BTC,-0.11209701734079536,1.14815322081564
68962.82918045693,1362381684459.9053,17253863432.786995,2024-10-21,BTC,BTC,0.8392562707655538,1.3535330577757894
67394.85775735618,1332326858574.4448,40485496091.95008,2024-10-22,BTC,BTC,-2.2736471831771854,0.2964816792050819
67351.04793512498,1331426858508.4004,31398389967.38113,2024-10-23,BTC,BTC,-0.06500469574240997,0.08989344745676808
66683.96806542306,1318285437546.2786,32676918488.059,2024-10-24,BTC,BTC,-0.9904521015685952,-0.19780671680024334
68214.05205157402,1347888109010.5889,35892606570.03549,2024-10-25,BTC,BTC,2.294530500419234,0.19744201257735192
66585.66535501445,1313975091942.221,48426924850.053406,2024-10-26,BTC,BTC,-2.3871719207186337,-0.38494087819469025
67018.1650170265,1325192118637.2595,21169467789.89267,2024-10-27,BTC,BTC,0.6495386953124127,-0.27613577638708914
67938.55412885673,1343350549900.1233,16533385730.434193,2024-10-28,BTC,BTC,1.3733427520678854,-0.19983770762961317
69845.304531169,1380874923096.4146,41990540384.96554,2024-10-29,BTC,BTC,2.806580779885004,0.5259091442364139
72781.11308158132,1439310420089.3665,65487782004.97014,2024-10-30,BTC,BTC,4.203301238528079,1.1356671348464837
72342.62171127986,1431085552900.1965,43498144313.67304,2024-10-31,BTC,BTC,-0.602479615569973,1.1910917757034298
70264.99735573279,1390195908292.9321,45907074188.570145,2024-11-01,BTC,BTC,-2.871922949984995,0.4530269970742542
69507.92256395647,1374687306836.925,54863092261.31101,2024-11-02,BTC,BTC,-1.0774565150034165,0.6401291978907137
69299.16036699413,1370516856365.7996,14709379754.965973,2024-11-03,BTC,BTC,-0.3003430245958727,0.5044318093323873
68803.50626277467,1362302032218.0198,37659435506.757034,2024-11-04,BTC,BTC,-0.715238253385142,0.20606309426766906
67793.29782704762,1340192510479.9568,46183110993.79166,2024-11-05,BTC,BTC,-1.4682513880453385,-0.4046272154366656
69335.42553133758,1370963795352.6948,40025021601.49395,2024-11-06,BTC,BTC,2.274749501380202,-0.6801346064577908
75620.88606963192,1496392703840.9058,128492534668.23851,2024-11-07,BTC,BTC,9.065294530360246,0.7009759858179547
75987.24178320667,1502620808927.6982,66590396087.4524,2024-11-08,BTC,BTC,0.4844636615834119,1.1804597874705842
76550.0213845611,1514048743889.1255,50687468387.720375,2024-11-09,BTC,BTC,0.7406238049277425,1.4401855474607501
76630.22631415377,1519470275068.1016,31430906055.796104,2024-11-10,BTC,BTC,0.10477453584205598,1.4980594846661681
80466.71654833542,1590846468754.067,93473126207.67865,2024-11-11,BTC,BTC,5.006497329726711,2.315450282253576
88637.42000322911,1756619702929.0437,133959805308.72511,2024-11-12,BTC,BTC,10.154140501042619,3.9757919806947126
88264.59974582895,1741113172482.1243,152356811694.44943,2024-11-13,BTC,BTC,-0.42061271344154827,3.590740235720177
90488.10007497849,1790737763695.3328,136046309843.60645,2024-11-14,BTC,BTC,2.5191303597959402,2.655573925639562
87407.51273710128,1726797438787.217,99649391847.08359,2024-11-15,BTC,BTC,-3.4044115583426238,2.1000203227929854
90947.97509443703,1799276211921.9302,84382485697.84985,2024-11-16,BTC,BTC,4.050524087082219,2.572863220243625
90606.45489380708,1790415769635.4927,49255174407.368774,2024-11-17,BTC,BTC,-0.3755116046017859,2.5042509144659335
89841.47194135105,1776887033229.9082,48556083101.64749,2024-11-18,BTC,BTC,-0.8442918921754639,1.6684238827656224
90534.62459650292,1790917617392.4407,77391724184.19348,2024-11-19,BTC,BTC,0.7715286049680525,0.32805075475497
